Gene,Membrane,Transmembrane,Plasma
FHL2,,,
PTGFRN,yes,yes,
COL14A1,,yes,yes
HPSE2,,,
COL7A1,,,
ASPN,,,yes
PAMR1,,,
SULF1,,,
HHIP,yes,yes,
HSD17B6,,,
CTHRC1,,,
FBLN2,,,yes
KRT15,,,yes
JCHAIN,,,yes
CRTAC1,,,yes
ZNF385B,,,
POU2AF1,,,yes
SAMD11,,,
DERL3,yes,yes,yes
BDKRB2,yes,yes,
PDLIM4,,,
CP,,,yes
COL1A1,,,yes
COL3A1,,,yes
IGF1,,,yes
MZB1,,,
CPNE5,,,yes
FLNC,,,yes
POSTN,,,yes
THBS2,,,yes
CXCL14,,yes,
TMEM45A,yes,yes,
CDH3,yes,yes,
FAP,,yes,yes
SPP1,,,yes
MME,yes,yes,yes
THY1,yes,,yes
ALDH1A3,,,
AFF3,,,
PCSK9,,,yes
DES,,,yes
ACTG2,,,
CCDC80,,yes,
PIM2,yes,,
PLPP2,yes,yes,
CDHR3,yes,yes,
TMEM231,yes,yes,
SPTBN2,,,yes
TSPAN1,yes,yes,
CRLF1,,,
AGER,yes,yes,yes
TOGARAM2,,,
ST6GALNAC1,yes,yes,
CCDC17,,,
BTNL9,yes,yes,
MYRF,yes,,yes
CAPS,,,
DLEC1,,,yes
MUC4,yes,yes,
GRIA1,yes,yes,yes
RAB36,,,
FHAD1,,,
PIFO,,,
FCN3,,,yes
CAPN13,,,
SLC44A4,yes,yes,
CA4,yes,yes,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
