,Control 1,Control 2,Control 3,Control 4,Control 5,CML CP 1,CML CP 2,CML CP 3,CML CP 4,CML CP 5,CML BC 1,CML BC 2,CML BC 3,CML BC 4,CML BC 5
ENSG00000000419,29.9294592,29.63458174,33.55081251,31.94032741,33.97896861,45.11974545,39.11983528,38.49324064,10.8908888,18.97575811,61.12541004,38.01918899,32.2509216,56.74961794,22.89727431
ENSG00000000457,23.22883401,22.87329367,21.01883053,27.9310813,20.75638354,13.03992643,16.02706908,19.66372974,5.834404715,9.005444528,18.30208498,8.921038047,19.25707203,10.86694812,6.976513266
ENSG00000000460,3.394983432,3.380644034,3.88650074,4.543812268,1.84501187,10.87993862,14.30372832,11.20236724,14.26187819,14.31222434,28.07504298,61.18993882,12.43296398,12.0743868,16.63630087
ENSG00000000938,191.7272222,215.498075,172.5923594,171.0611677,181.1186653,300.6383039,264.6189739,528.6563946,437.4507002,329.9852173,23.27740906,46.22175418,43.93603812,47.60758223,125.9350087
ENSG00000000971,5.003133478,6.977073857,8.407532213,5.813406872,15.83635189,14.23991966,13.52822497,8.223014253,11.79846287,7.879763962,125.4492427,236.7966811,76.74784532,37.77558155,29.15824775
ENSG00000001036,15.00940044,17.55057754,16.10121735,17.50704139,13.83758903,33.99980818,48.85671058,24.43069452,60.93711592,56.44483981,34.82726851,32.750388,22.90282838,10.69445688,33.8092566
ENSG00000001084,38.41691778,49.19915998,34.74055763,36.48413968,40.59026115,42.55975989,37.39649452,15.73098379,4.926830649,5.62840283,32.69498677,52.74788268,27.38991313,33.29080931,10.91198229
ENSG00000001167,98.72254453,78.76181312,76.22300431,88.00295231,76.10673966,75.67957304,76.94716498,166.6054192,70.27216346,14.95547038,75.51831183,145.191391,34.12054024,122.9862541,54.55991144
ENSG00000001460,2.858933416,1.654357719,0.634530733,1.937802291,3.075019784,4.159976531,4.566853017,2.502656512,1.037227505,4.824345283,7.46298611,2.694273236,2.056580508,3.622316039,6.976513266
ENSG00000001461,31.18024257,36.18008402,48.7795501,33.47720509,25.06141124,35.51979961,37.39649452,18.2336403,29.82029077,41.16774641,16.70287367,20.53634933,28.41820338,21.56140499,28.44270793
ENSG00000001497,72.81346044,60.56387822,69.79838064,71.16411861,66.42042734,77.75956131,88.66588216,56.13101034,88.68295167,55.15834773,211.4512731,137.2283168,118.8142648,135.9230971,192.6590971
ENSG00000001561,17.33228384,22.94522227,18.32207492,16.97247524,14.60634397,14.55991786,12.06338533,36.82480296,5.445444401,26.53389906,11.37216931,1.736309419,11.03075,27.08112467,6.082088488
ENSG00000001629,32.43102594,43.08522928,35.77167008,25.32507132,19.21887365,23.27986866,13.3558909,19.30620738,3.759949706,10.13112509,5.153014219,15.80640298,17.01352966,8.279579518,5.187663711
ENSG00000001630,17.24294217,19.70843543,23.55695346,16.43790909,16.75885782,30.0798303,34.89765041,30.50857462,8.29782004,6.432460377,24.69893022,51.37080969,27.85731779,25.35621227,15.74187609
ENSG00000001631,123.4701869,96.95974803,89.31020068,90.47532075,73.64672383,34.95980277,34.89765041,35.75223588,15.94737289,18.01088906,13.85983135,46.52111787,26.82902753,19.66400135,12.34306193
ENSG00000002016,13.04388371,5.250787542,4.203766107,14.63374833,6.150039568,10.23994223,7.238031197,3.813571828,0.518613752,0.643246038,7.46298611,9.160529002,4.767527541,10.3494744,4.114353977
ENSG00000002330,13.6692754,9.926146312,9.438644654,14.63374833,21.06388552,28.07984158,24.04060362,22.76225685,75.8472613,126.5586579,56.86084655,11.13632937,20.19188135,40.70793263,35.59810615
ENSG00000002549,32.52036761,51.14123208,32.99559812,33.6776674,33.51771565,19.27989123,19.4737506,18.59116266,11.15019568,10.13112509,34.47188822,37.60007982,26.92250847,25.70119475,24.32835395
ENSG00000002586,149.4686127,151.6974099,175.9236457,186.8308691,103.7819177,47.35973281,91.42322738,37.30149944,132.6354672,152.6101224,73.38603008,28.73891451,436.2755105,1099.286672,82.10819459
ENSG00000002587,1.608150047,1.078928947,1.903592199,0.868669992,1.230007914,0,0,0,0,0,0,0.299363693,0,0,0
ENSG00000002726,0,0,0,0,0.922505935,16.87990477,2.240342989,0.476696478,44.34147584,5.145968302,0.177690145,2.873891451,0.186961864,5.347228438,25.93831855
ENSG00000002822,57.80406001,47.61673086,41.24449765,42.96575424,38.59149829,46.47973778,43.2558531,44.09442426,51.60206837,45.34884566,46.55481811,89.15050773,74.78474574,53.9897581,92.30463706
ENSG00000002834,356.9199687,272.897095,328.8455524,234.7413603,287.6681008,390.9577943,281.4215463,613.5083678,332.042455,438.0505517,30.38501488,137.5875532,158.2632182,158.0019758,110.5509025
ENSG00000002919,10.81034198,9.494574733,9.835226362,7.149822245,10.60881826,9.839944486,10.77087976,11.08319312,17.24390727,38.59476226,5.153014219,3.951600746,5.515374998,7.244632078,9.123132733
ENSG00000002933,6.968650202,0.575428772,1.348377808,7.751209163,9.071308363,0.639996389,0.344668152,0.11917412,3.889603144,0,0,0.538854647,0.280442797,0,8.049822999
ENSG00000003056,82.73038573,85.66695838,114.929379,70.09498631,86.25430494,107.1993952,100.9016016,64.59237283,31.11682515,99.54232434,45.66636739,61.3096843,111.9901567,64.68421498,57.60095568
ENSG00000003096,0.446708346,0.575428772,0.555214391,0.200462306,0.768754946,4.959972017,0.689336304,0.476696478,0.518613752,0,0,3.233127883,3.645756355,7.417123318,0.894424778
ENSG00000003147,5.092475148,3.308715437,4.441715131,4.076066888,3.075019784,100.5594327,110.7246439,101.4171758,148.4531866,127.84515,35.00495866,71.54792259,53.4710932,12.0743868,57.06430082
ENSG00000003393,11.52507533,13.16293315,14.03899247,8.486237618,14.298842,19.59988942,28.69362367,12.63245668,3.241335953,10.93518264,14.74828207,12.03442045,27.10947033,15.86919408,12.52194689
ENSG00000003400,18.85109221,19.06107806,30.69542421,26.19374131,23.37015036,26.23985196,26.45328068,50.76817496,21.65212417,92.46661792,36.07109953,17.12360323,67.96063769,41.91537131,16.63630087
ENSG00000003402,248.5485239,297.2808892,284.5077174,213.7596389,330.8721288,361.9179582,337.0854529,808.1197051,650.0823387,857.4469683,545.3310565,166.3264678,215.0996249,154.3796598,204.1077343
ENSG00000003436,9.916925288,9.278788943,11.8181349,10.89178529,2.460015827,11.91993275,19.90458579,11.32154136,18.79974853,73.00842528,62.9023115,84.12119769,159.852394,155.0696247,12.34306193
ENSG00000003509,24.30093404,14.45764789,25.69849469,23.78819364,17.0663598,20.07988672,20.1630869,31.10444522,13.87291788,21.54874226,32.87267691,17.30322145,13.18081144,24.14877359,17.88849555
ENSG00000003756,390.9591447,279.8741688,268.9617145,239.8865594,447.1078766,202.0788599,203.698878,345.3665986,94.64700983,40.20287736,149.2597222,183.6895619,201.170966,212.1642251,167.2574334
ENSG00000004059,21.71002563,23.80836543,22.84310639,21.3158252,20.75638354,59.51966421,65.31461484,41.71094186,161.0295701,93.10986396,32.33960648,23.64973174,35.24231143,57.26709166,57.60095568
ENSG00000004139,10.09560863,10.93314666,18.87728931,10.35721914,10.76256924,10.39994133,10.34004457,3.456049469,5.445444401,10.61355962,2.132281746,1.377072987,14.39606355,4.484772239,15.56299113
ENSG00000004142,8.576800249,11.14893245,7.217787089,12.82958758,13.37633606,19.51988988,25.85011142,14.77759083,48.10142554,32.16230189,30.20732473,14.66882095,34.49446397,26.04617723,34.70368138
ENSG00000004399,43.15202625,53.65873296,50.44519328,39.02332889,42.58902401,41.59976531,77.29183313,26.81417691,56.52889902,18.01088906,21.14512731,136.6894622,215.4735487,81.93333898,121.1051149
ENSG00000004455,51.55014316,60.70773541,58.05956207,54.79303029,62.88415458,197.7588843,202.3202054,120.3658608,193.3132762,222.7239406,113.544003,199.9150741,121.7121737,150.23987,140.2458051
ENSG00000004468,23.58620068,32.94329718,20.62224882,20.51397598,21.67888948,59.43966466,74.96532311,25.74160984,55.88063183,57.57052038,64.67921295,30.71471489,100.3050402,121.7788154,42.75350437
