Sample,patientID,SOX9,FOXM1
BRCA,TCGA-AN-A0FZ-01A,204.973,16.685
BRCA,TCGA-AC-A3TM-01A,183.605,8.144
BRCA,TCGA-AC-A8OR-01A,153.104,9.744
BRCA,TCGA-EW-A6S9-01A,217.67,32.245
BRCA,TCGA-AR-A250-01A,134.582,29.952
BRCA,TCGA-E2-A10A-01A,128.574,24.593
BRCA,TCGA-AN-A03X-01A,147.689,11.113
BRCA,TCGA-A2-A0YI-01A,103.752,4.642
BRCA,TCGA-E9-A1N9-01A,352.383,90.054
BRCA,TCGA-EW-A1P1-01A,132.017,9.83
BRCA,TCGA-D8-A142-01A,244.656,22.946
BRCA,TCGA-AO-A1KS-01A,326.303,59.913
BRCA,TCGA-A8-A096-01A,142.704,24.635
BRCA,TCGA-A2-A4S1-01A,65.101,4.993
BRCA,TCGA-BH-A1EO-01A,261.116,12.069
BRCA,TCGA-S3-AA12-01A,162.218,21.686
BRCA,TCGA-AC-A3W7-01A,161.252,6.566
BRCA,TCGA-AO-A0J5-01A,218.03,24.782
BRCA,TCGA-E9-A228-01A,172.658,41.942
BRCA,TCGA-A7-A6VV-01A,204.006,46.767
BRCA,TCGA-BH-A0DH-01A,525.11,8.202
BRCA,TCGA-AN-A0FX-01A,168.704,48.624
BRCA,TCGA-AO-A12H-01A,117.393,12.707
BRCA,TCGA-BH-A1F8-01A,329.399,35.82
BRCA,TCGA-D8-A1JE-01A,136.728,15.422
BRCA,TCGA-C8-A3M7-01A,86.561,12.734
BRCA,TCGA-B6-A0RE-01A,231.12,81.593
BRCA,TCGA-E2-A10E-01A,202.367,21.551
BRCA,TCGA-A2-A1FZ-01A,163.616,13.332
BRCA,TCGA-LD-A74U-01A,168.757,11.692
BRCA,TCGA-AC-A2QI-01A,139.532,2.962
BRCA,TCGA-BH-A18J-01A,139.368,22.387
BRCA,TCGA-A1-A0SJ-01A,263.259,31.328
BRCA,TCGA-BH-A0DQ-01A,201.017,8.058
BRCA,TCGA-D8-A1JA-01A,219.379,19.842
BRCA,TCGA-BH-A1EU-01A,207.233,7.863
BRCA,TCGA-A2-A0YE-01A,221.935,128.978
BRCA,TCGA-D8-A1X6-01A,238.429,15.401
BRCA,TCGA-E9-A5UP-01A,155.56,4.124
BRCA,TCGA-LD-A66U-01A,163.848,6.126
BRCA,TCGA-B6-A0RN-01A,211.731,3.444
BRCA,TCGA-BH-A18I-01A,145.675,20.918
BRCA,TCGA-AR-A0TR-01A,123.296,4.6
BRCA,TCGA-AR-A0TW-01A,361.252,15.012
BRCA,TCGA-E2-A1IN-01A,515.177,9.819
BRCA,TCGA-D8-A73W-01A,98.47,14.601
BRCA,TCGA-AR-A1AO-01A,158.117,19.052
BRCA,TCGA-A2-A0EV-01A,241.082,10.217
BRCA,TCGA-AN-A0AJ-01A,291.607,46.485
BRCA,TCGA-EW-A423-01A,191.255,8.644
BRCA,TCGA-EW-A6SC-01A,239.201,16.543
BRCA,TCGA-A7-A6VX-01A,297.676,41.334
BRCA,TCGA-E9-A1RI-01A,170.337,6.642
BRCA,TCGA-D8-A1XS-01A,195.81,29.464
BRCA,TCGA-OL-A5D6-01A,40.569,8.896
BRCA,TCGA-S3-AA15-01A,163.074,51.272
BRCA,TCGA-D8-A1JU-01A,163.566,1.653
BRCA,TCGA-A2-A0T3-01A,124.539,60.231
BRCA,TCGA-BH-A0E6-01A,129.144,14.463
BRCA,TCGA-AN-A0XV-01A,211.255,18.601
BRCA,TCGA-C8-A131-01A,140.481,22.078
BRCA,TCGA-AN-A03Y-01A,241.546,35.357
BRCA,TCGA-AR-A24Z-01A,146.598,58.228
BRCA,TCGA-Z7-A8R5-01A,130.779,2.044
BRCA,TCGA-A7-A0DC-01B,137.237,20.784
BRCA,TCGA-E9-A3X8-01A,157.045,0.914
BRCA,TCGA-C8-A8HQ-01A,164.491,43.295
BRCA,TCGA-A2-A1FX-01A,205.758,38.173
BRCA,TCGA-B6-A402-01A,233.691,40.702
BRCA,TCGA-AC-A5EH-01A,84.157,13.916
BRCA,TCGA-OL-A97C-01A,96.117,20.667
BRCA,TCGA-LL-A73Z-01A,139.052,9.717
BRCA,TCGA-OL-A66P-01A,78.951,6.673
BRCA,TCGA-AR-A2LJ-01A,167.266,7.049
BRCA,TCGA-EW-A1PA-01A,190.501,58.069
BRCA,TCGA-A7-A56D-01A,93.898,3.076
BRCA,TCGA-E9-A1RE-01A,288.017,21.159
BRCA,TCGA-BH-A0DL-01A,73.529,60.519
BRCA,TCGA-AR-A1AY-01A,241.889,129.248
BRCA,TCGA-BH-A0DX-01A,110.191,14.657
BRCA,TCGA-A7-A4SD-01A,268.075,91.687
BRCA,TCGA-A2-A0EM-01A,122.625,8.9
BRCA,TCGA-JL-A3YW-01A,170.374,15.156
BRCA,TCGA-OL-A5DA-01A,155.618,9.469
BRCA,TCGA-EW-A1P0-01A,249.124,21.409
BRCA,TCGA-B6-A0RQ-01A,129.027,2.104
BRCA,TCGA-5L-AAT1-01A,212.83,3.487
BRCA,TCGA-AN-A0FW-01A,126.234,31.331
BRCA,TCGA-BH-A1ES-01A,231.851,26.464
BRCA,TCGA-BH-A0BR-01A,108.713,25.034
BRCA,TCGA-A2-A1FW-01A,170.353,50.251
BRCA,TCGA-BH-A0BO-01A,143.055,3.94
BRCA,TCGA-E2-A14Y-01A,178.277,56.89
BRCA,TCGA-A7-A4SC-01A,142.452,17.205
BRCA,TCGA-A7-A13D-01B,230.438,31.482
BRCA,TCGA-AO-A03O-01A,566.991,55.698
BRCA,TCGA-Z7-A8R6-01A,205.367,54.064
BRCA,TCGA-A8-A07W-01A,238.536,51.346
BRCA,TCGA-D8-A140-01A,166.112,23.273
BRCA,TCGA-D8-A1XA-01A,175.339,21.497
BRCA,TCGA-A2-A0CY-01A,131.485,13.008
BRCA,TCGA-AR-A24M-01A,111.667,11.595
BRCA,TCGA-A2-A3XV-01A,33.598,3.458
BRCA,TCGA-GM-A2DA-01A,315.207,9.853
BRCA,TCGA-A2-A0CR-01A,164.273,4.25
BRCA,TCGA-AC-A62Y-01A,114.174,5.818
BRCA,TCGA-BH-A42V-01A,155.634,5.555
BRCA,TCGA-C8-A8HR-01A,209.288,28.028
BRCA,TCGA-D8-A1XK-01A,309.792,163.336
BRCA,TCGA-B6-A0IN-01A,191.685,11.742
BRCA,TCGA-A2-A0T6-01A,213.242,3.532
BRCA,TCGA-E9-A1NE-01A,209.075,33.113
BRCA,TCGA-AR-A5QP-01A,179.083,10.924
BRCA,TCGA-A8-A07S-01A,102.804,35.404
BRCA,TCGA-A8-A08J-01A,227.155,32.332
BRCA,TCGA-C8-A12O-01A,725.202,41.216
BRCA,TCGA-E9-A248-01A,131.646,41.431
BRCA,TCGA-EW-A1OV-01A,138.132,28.966
BRCA,TCGA-A2-A04V-01A,199.229,19.192
BRCA,TCGA-BH-A1FL-01A,272.19,23.555
BRCA,TCGA-A7-A0CH-01A,131.983,8.607
BRCA,TCGA-E2-A153-01A,199.964,5.435
BRCA,TCGA-AR-A2LE-01A,188.244,7.56
BRCA,TCGA-AC-A3W5-01A,120.144,20.424
BRCA,TCGA-WT-AB44-01A,149.528,1.123
BRCA,TCGA-S3-A6ZH-01A,195.569,31.058
BRCA,TCGA-C8-A12Y-01A,221.391,12.47
BRCA,TCGA-BH-A8FY-01A,112.412,8.532
BRCA,TCGA-3C-AAAU-01A,215.265,41.497
BRCA,TCGA-D8-A1XU-01A,149.323,7.532
