,ID,adj.P.Val,P.Value,logFC,Gene.symbol
3,ILMN_1700147,5.39E-18,3.31E-22,-4.0872908,VPREB3
4,ILMN_2292646,6.64E-18,5.44E-22,-1.5335801,GAD1
5,ILMN_1678170,1.82E-17,1.86E-21,-2.9389683,MME
6,ILMN_1709173,2.41E-16,2.96E-20,-2.1874464,HMHB1
7,ILMN_1804993,3.00E-16,4.31E-20,-1.7282517,FAM178B
8,ILMN_1887357,3.71E-16,6.08E-20,-1.3489358,CHRM3
9,ILMN_1796455,4.79E-16,8.84E-20,-2.7209084,RYR3
13,ILMN_1738818,1.75E-15,4.68E-19,-1.3069309,RAG1
15,ILMN_1900639,5.12E-15,1.57E-18,-1.3019517,SAPCD1
17,ILMN_1720266,4.63E-14,1.61E-17,-1.3549981,NUP62CL
19,ILMN_2134765,5.72E-14,2.23E-17,-1.6794936,PKLR
21,ILMN_1756550,9.78E-14,4.21E-17,-1.3710781,SLC25A21
22,ILMN_2380561,1.11E-13,5.01E-17,-1.0183024,AKAP12
23,ILMN_1780417,1.30E-13,6.13E-17,-1.0695026,ZNF121
26,ILMN_1684836,1.92E-13,1.05E-16,-1.0325257,MRE11A
28,ILMN_1777031,2.02E-13,1.16E-16,-1.5389857,LRIG1
30,ILMN_1766613,5.97E-13,3.67E-16,-1.4595102,NPY
31,ILMN_1780774,7.31E-13,4.65E-16,-1.1725723,APOC1
32,ILMN_1658636,7.90E-13,5.18E-16,-1.3677109,CXorf57
34,ILMN_2128795,8.35E-13,5.82E-16,-2.7576785,CHTF18
37,ILMN_1731062,1.12E-12,8.52E-16,-1.7695445,FAM129C
38,ILMN_1789007,1.13E-12,8.82E-16,-2.228923,C22orf34
43,ILMN_1703279,2.89E-12,2.55E-15,-1.600346,RALGDS
45,ILMN_1761422,5.72E-12,5.28E-15,-1.1328414,EBF1
47,ILMN_1756705,8.69E-12,8.45E-15,-1.5850631,SNORA62
51,ILMN_1664063,1.01E-11,1.06E-14,-1.9356217,ANK1
53,ILMN_1911927,1.76E-11,1.92E-14,-1.0314184,RAB35
55,ILMN_1707342,1.94E-11,2.19E-14,-1.0908395,PRG2
56,ILMN_1699856,1.95E-11,2.25E-14,2.2452855,DLST
59,ILMN_1778681,2.31E-11,2.79E-14,-2.854882,SYNGR1
64,ILMN_1700074,2.85E-11,3.75E-14,-1.013231,CCDC81
66,ILMN_1684694,3.11E-11,4.25E-14,-1.0395363,MND1
67,ILMN_1812571,3.11E-11,4.28E-14,1.3189882,PDIA3P1
69,ILMN_1729314,3.55E-11,5.02E-14,-5.6389587,VPREB1
70,ILMN_1773228,3.98E-11,5.72E-14,1.264008,HMGN5
71,ILMN_1668313,3.98E-11,5.79E-14,-1.272831,BACH2
72,ILMN_1794534,4.18E-11,6.17E-14,-1.1966429,MYH10
74,ILMN_1671906,4.34E-11,6.58E-14,-1.8633015,CENPW
81,ILMN_1723971,8.15E-11,1.35E-13,-1.5187306,TMBIM1
82,ILMN_2075440,9.02E-11,1.52E-13,1.9349602,BAX
83,ILMN_1738549,1.03E-10,1.74E-13,-5.1243975,CENPE
84,ILMN_1749799,1.04E-10,1.79E-13,-2.4428616,KIF14
92,ILMN_2058468,1.73E-10,3.26E-13,-1.3757297,KCNH2
97,ILMN_1815154,2.32E-10,4.62E-13,-3.5920558,NDRG3
105,ILMN_1763907,3.79E-10,8.15E-13,-1.308538,NMU
108,ILMN_1705213,5.24E-10,1.16E-12,1.8224026,AVP
111,ILMN_2321064,5.46E-10,1.24E-12,2.316815,GANAB
112,ILMN_1716279,6.37E-10,1.47E-12,-1.8036144,CLIC1
118,ILMN_1808071,8.29E-10,2.01E-12,-1.3911014,FAM83D
124,ILMN_1739987,9.89E-10,2.51E-12,-1.9619671,PLOD2
125,ILMN_1804530,1.00E-09,2.57E-12,2.4722673,CRMP1
129,ILMN_2385097,1.23E-09,3.24E-12,1.6179365,TROAP
132,ILMN_2162253,1.38E-09,3.74E-12,-1.7045873,SASS6
133,ILMN_2230117,1.41E-09,3.86E-12,-2.8130265,EZH2
135,ILMN_1739441,1.47E-09,4.06E-12,1.3922918,CAPN1
138,ILMN_1856443,2.27E-09,6.43E-12,-1.4104569,AKR1C2
139,ILMN_1756982,2.28E-09,6.50E-12,1.2307654,CDKN3
148,ILMN_2148796,3.05E-09,9.24E-12,-1.5437647,ARPP21
149,ILMN_1781943,3.13E-09,9.57E-12,-1.4122854,POLQ
156,ILMN_1771599,4.45E-09,1.42E-11,-2.3028782,ARHGAP11B
161,ILMN_1789541,5.14E-09,1.70E-11,-1.1458246,MS4A2
162,ILMN_1700337,5.37E-09,1.78E-11,-1.4880417,HNRNPR
166,ILMN_2089458,6.11E-09,2.08E-11,-1.0081066,HMGN2
172,ILMN_1652913,6.43E-09,2.27E-11,-1.3385192,RIF1
173,ILMN_1705261,6.85E-09,2.43E-11,1.3906619,ASPM
175,ILMN_2412336,6.87E-09,2.46E-11,-1.0275573,CDH1
176,ILMN_1666305,6.92E-09,2.50E-11,-1.4317497,MYO1G
177,ILMN_2374728,6.92E-09,2.51E-11,-1.6669728,CAPRIN2
178,ILMN_1740291,6.94E-09,2.55E-11,-2.4389161,NFIA
179,ILMN_2215881,6.94E-09,2.56E-11,-1.073884,PRPS1
188,ILMN_1806721,8.36E-09,3.22E-11,-1.4299399,CENPF
193,ILMN_2175894,9.99E-09,3.95E-11,-1.3174089,GMNN
194,ILMN_2058141,1.18E-08,4.71E-11,-1.1188983,NEK2
195,ILMN_1686835,1.22E-08,4.88E-11,-1.2058951,FAM120C
197,ILMN_2149053,1.32E-08,5.32E-11,-1.5326073,E2F7
198,ILMN_1815184,1.33E-08,5.38E-11,-2.3732581,CCDC18
199,ILMN_1770940,1.35E-08,5.51E-11,-2.559704,DDB1
201,ILMN_1783253,1.35E-08,5.58E-11,-1.0874498,CDC42
203,ILMN_1692295,1.36E-08,5.66E-11,2.0275531,PBK
205,ILMN_1681118,1.41E-08,5.92E-11,-1.4008134,HOOK1
207,ILMN_1758049,1.43E-08,6.07E-11,-1.2040835,ADGRE5
208,ILMN_1667050,1.48E-08,6.32E-11,-1.3319684,TSPYL5
209,ILMN_1664516,1.52E-08,6.50E-11,-2.3925315,ZNF789
215,ILMN_1720114,1.78E-08,7.86E-11,-1.4593484,ZNF519
216,ILMN_2051373,1.84E-08,8.15E-11,-1.6816743,MBOAT7
218,ILMN_1851547,1.92E-08,8.56E-11,-1.2693994,LRRC26
220,ILMN_1798210,1.98E-08,8.95E-11,-1.1266304,CDK1
224,ILMN_1804953,2.06E-08,9.45E-11,-1.0254095,MTX3
225,ILMN_1671402,2.17E-08,1.01E-10,-1.736249,MYDGF
227,ILMN_1774735,2.30E-08,1.07E-10,-1.0388025,REXO2
232,ILMN_1738424,2.60E-08,1.24E-10,1.3055725,P4HA2
236,ILMN_1672161,2.84E-08,1.37E-10,-1.0805916,C6orf47
240,ILMN_1673673,2.86E-08,1.41E-10,-1.0031999,RPS6KA3
242,ILMN_1823809,2.88E-08,1.43E-10,-1.5940038,TWF2
245,ILMN_1741406,3.00E-08,1.51E-10,-1.134555,CXADR
247,ILMN_2413508,3.04E-08,1.54E-10,1.8698715,ZNF462
248,ILMN_1737972,3.06E-08,1.56E-10,-1.8297732,LTBR
249,ILMN_1789364,3.17E-08,1.62E-10,-1.1800581,PBX2
255,ILMN_1793572,3.36E-08,1.76E-10,-1.4250535,ADNP
256,ILMN_1669682,3.53E-08,1.85E-10,-1.0256229,EEF1E1
