,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000154262,2835.109877,7.461361913,0.362398047,20.58885798,3.45E-94,6.75E-90,ABCA6
ENSG00000079337,2157.305034,5.941944929,0.344111747,17.26748647,8.27E-67,8.08E-63,RAPGEF3
ENSG00000122176,11525.17391,10.80935143,0.676566776,15.9767695,1.86E-57,1.21E-53,FMOD
ENSG00000214193,516.5065683,5.002284171,0.361155006,13.85079559,1.26E-43,6.15E-40,SH3D21
ENSG00000109684,1536.209887,4.912775289,0.364046656,13.49490569,1.68E-41,6.55E-38,CLNK
ENSG00000090975,6072.274146,2.383770962,0.179291149,13.29553059,2.19E-40,6.86E-37,PITPNM2
ENSG00000162896,2525.778818,6.13196657,0.460907274,13.30412193,2.46E-40,6.86E-37,PIGR
ENSG00000006740,2204.933245,6.057727312,0.456168212,13.27959106,3.04E-40,7.43E-37,ARHGAP44
ENSG00000143061,1274.863529,9.340439904,0.725556534,12.87348327,6.35E-38,1.38E-34,IGSF3
ENSG00000175556,213.3508474,4.897838357,0.398323602,12.29612891,9.50E-35,1.86E-31,LONRF3
ENSG00000111863,2682.701812,7.418311758,0.603689398,12.28829226,1.05E-34,1.86E-31,ADTRP
ENSG00000185483,1798.707986,5.032708866,0.411227168,12.23826939,1.94E-34,3.16E-31,ROR1
ENSG00000163935,2626.440873,2.139049879,0.177205685,12.07100029,1.50E-33,2.26E-30,SFMBT1
ENSG00000171435,932.256039,8.683576653,0.720988803,12.04398268,2.09E-33,2.91E-30,KSR2
ENSG00000058335,1910.646823,4.75708807,0.405566334,11.72949446,3.15E-33,9.77E-29,RASGRF1
ENSG00000154258,451.2372535,5.813607005,0.500118339,11.62446275,5.41E-33,3.18E-28,ABCA9
ENSG00000163599,1975.117409,8.386224611,0.734308276,11.42057755,7.09E-33,3.23E-27,CTLA4
ENSG00000049089,2007.355152,3.647276236,0.323702169,11.26738276,9.00E-32,1.77E-26,COL9A2
ENSG00000166123,2196.520227,3.252111008,0.294607847,11.03877931,3.10E-31,2.21E-25,GPT2
ENSG00000179588,1429.879508,2.586986309,0.238098528,10.86519238,3.30E-30,1.44E-24,ZFPM1
ENSG00000115355,5349.39478,3.095187524,0.291085537,10.63325768,1.90E-29,1.70E-23,CCDC88A
ENSG00000074964,449.3432333,3.630624954,0.346848114,10.46747786,2.48E-28,9.53E-23,ARHGEF10L
ENSG00000074219,1659.953115,2.95939923,0.289836503,10.21058147,1.69E-27,1.34E-21,TEAD2
ENSG00000016391,1026.574422,5.985777203,0.595424459,10.0529582,2.09E-26,6.01E-21,CHDH
ENSG00000104081,7278.137284,2.485127362,0.247187286,10.05362128,1.22E-25,6.01E-21,BMF
ENSG00000198825,2882.826288,2.745680461,0.280403812,9.791879924,1.78E-24,7.95E-20,INPP5F
ENSG00000168386,391.4636818,4.033378466,0.416705573,9.679204514,2.85E-24,2.33E-19,FILIP1L
ENSG00000075275,3786.092847,2.084739202,0.217793069,9.572109936,8.86E-24,6.40E-19,CELSR1
ENSG00000234475,53.92624071,22.34833868,2.349555061,9.511732265,8.92E-24,1.08E-18,HSPA1A
ENSG00000107554,4153.594219,2.387896723,0.253279694,9.427904327,1.22E-22,2.22E-18,DNMBP
ENSG00000157227,224.6408638,4.231012483,0.455244426,9.293935826,3.70E-22,7.09E-18,MMP14
ENSG00000170390,1317.064588,4.292279095,0.463166917,9.267240255,1.05E-21,8.89E-18,DCLK2
ENSG00000277626,602.3846755,6.225527308,0.68058472,9.147321603,1.41E-21,2.65E-17,WNT3
ENSG00000092758,990.5059968,3.251362202,0.359484262,9.044518905,1.88E-21,6.39E-17,COL9A3
ENSG00000105875,1154.985519,2.270387086,0.251024968,9.044467187,3.27E-21,6.39E-17,WDR91
ENSG00000103855,101.4253299,6.222143479,0.696062054,8.939064333,4.18E-21,1.63E-16,CD276
ENSG00000143869,2432.54691,2.941073033,0.329364841,8.929529395,4.21E-21,1.74E-16,GDF7
ENSG00000188389,78.87137419,3.96561386,0.445412582,8.903237176,4.40E-21,2.04E-16,PDCD1
ENSG00000276977,78.87137419,3.96561386,0.445412582,8.903237176,6.83E-21,2.04E-16,FCGRT
ENSG00000104870,2995.010488,1.752192522,0.196959855,8.896191165,1.07E-20,2.13E-16,LEF1
ENSG00000138795,3523.641228,3.663243807,0.416456147,8.796229398,1.49E-20,4.94E-16,MCOLN2
ENSG00000277641,526.5790077,8.171352536,0.929837831,8.787932971,1.91E-20,5.22E-16,KCNN4
ENSG00000153898,632.2156378,2.448604877,0.284961559,8.592755056,5.84E-20,2.77E-15,TOM1
ENSG00000104783,4432.422557,2.235607036,0.260982305,8.566124947,1.05E-19,3.43E-15,TRAPPC2L
ENSG00000100284,1000.113879,1.592810156,0.1883714,8.455689968,1.50E-19,8.61E-15,EPHA10
ENSG00000167515,1586.056686,1.675258911,0.199675896,8.38989056,1.50E-19,1.49E-14,SPATS2L
ENSG00000183317,197.3087912,4.669184512,0.557219203,8.379439343,3.92E-19,1.60E-14,SLC23A2
ENSG00000196141,708.4927655,3.725922912,0.445163772,8.36978017,4.28E-19,1.71E-14,SPTBN2
ENSG00000089057,3449.583515,1.935381535,0.233921094,8.273651187,4.41E-19,3.68E-14,TSIX
ENSG00000173898,840.3141979,3.417456582,0.417247835,8.190471696,4.56E-19,7.27E-14,SLCO4A1
ENSG00000270641,317.551729,1.803597833,0.222442908,8.108138167,5.42E-19,1.38E-13,DNAJB13
ENSG00000101187,319.4264285,3.057888909,0.378658857,8.075577413,5.42E-19,1.75E-13,CPEB1
ENSG00000187726,303.6509691,2.435097957,0.301941751,8.064793787,5.78E-19,1.86E-13,ZNF713
