,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000157554,792.5250841,6.408637229,0.33795899,18.96276598,3.46E-80,5.49E-76,ERG
ENSG00000176890,928.4564117,5.183489881,0.322848683,16.05547785,5.23E-58,1.48E-61,TYMS
ENSG00000051180,124.8351964,4.687657971,0.331999902,14.11945588,2.88E-45,2.77E-54,RAD51
ENSG00000093009,321.1002308,4.851860843,0.3507418,13.83314121,1.61E-43,4.06E-49,CDC45
ENSG00000165480,172.5371445,5.444032136,0.403166587,13.50318283,1.50E-41,2.58E-47,SKA3
ENSG00000146670,220.2076114,5.670549312,0.431040045,13.15550465,1.58E-39,4.90E-46,CDCA5
ENSG00000161888,365.158598,6.4709363,0.497135806,13.01643579,9.87E-39,2.40E-44,SPC24
ENSG00000123485,384.0629033,4.82450133,0.378764488,12.73747007,3.66E-37,5.71E-42,HJURP
ENSG00000121957,237.1180554,3.8196472,0.300781186,12.6990895,5.98E-37,1.99E-41,GPSM2
ENSG00000228716,1296.41657,2.840219199,0.226070063,12.56344676,3.35E-36,4.76E-41,DHFR
ENSG00000111206,158.0878225,4.657035685,0.377254643,12.34454174,5.21E-35,2.32E-40,FOXM1
ENSG00000257698,1083.253496,6.27740735,0.509549457,12.31952515,7.11E-35,1.73E-38,GIHCG
ENSG00000178999,342.6737462,5.157478856,0.424117141,12.16050556,5.04E-34,1.83E-38,AURKB
ENSG00000073111,718.1576431,3.324272786,0.277318802,11.98718862,4.15E-33,1.79E-36,MCM2
ENSG00000088325,754.974003,5.068518293,0.422828443,11.9871744,4.15E-33,1.04E-35,TPX2
ENSG00000204197,359.1686217,4.843303087,0.412012757,11.75522602,6.64E-32,3.63E-34,KIFC1
ENSG00000157456,264.4030956,5.244377502,0.446888389,11.73531832,8.40E-32,5.58E-34,CCNB2
ENSG00000136810,821.6525103,3.070495519,0.261952265,11.72158414,9.88E-32,2.95E-33,TXN
ENSG00000005381,42330.69966,9.613603695,0.826619486,11.63002307,2.90E-31,3.72E-32,MPO
ENSG00000167900,205.8448887,6.270788475,0.541455171,11.58136225,5.12E-31,4.13E-32,TK1
ENSG00000164104,9767.42916,2.591600427,0.224880303,11.52435492,9.95E-31,5.37E-32,HMGB2
ENSG00000143653,297.2966624,2.689687892,0.236203128,11.38718153,4.84E-30,3.46E-31,SCCPDH
ENSG00000124107,2630.505892,8.983460971,0.799673863,11.23390596,2.78E-29,3.48E-31,SLPI
ENSG00000099194,482.4822587,3.269224876,0.293222021,11.14931568,7.22E-29,2.63E-30,SCD
ENSG00000112984,132.9346402,6.180246622,0.554724224,11.14111545,7.91E-29,2.63E-30,KIF20A
ENSG00000145014,121.3121023,4.38284364,0.393773213,11.1303753,8.93E-29,1.67E-29,TMEM44
ENSG00000100448,30661.31834,10.40276331,0.93501863,11.12572839,9.40E-29,2.37E-29,CTSG
ENSG00000169607,212.3231454,5.222597875,0.476992681,10.94901051,6.72E-28,3.76E-29,CKAP2L
ENSG00000143545,1942.130633,4.825648173,0.441851257,10.92143137,9.10E-28,4.59E-29,RAB13
ENSG00000118513,1176.233721,4.599521769,0.423280086,10.86637885,1.67E-27,5.22E-29,MYB
ENSG00000198901,479.4071609,3.337839066,0.307500355,10.85474864,1.89E-27,1.08E-28,PRC1
ENSG00000111665,116.771607,4.338984693,0.399921554,10.84958949,2.00E-27,1.12E-28,CDCA3
ENSG00000164626,127.391039,6.187039815,0.574010485,10.77861812,4.34E-27,1.39E-28,KCNK5
ENSG00000186792,479.6091799,5.942710015,0.555144031,10.70480755,9.66E-27,2.39E-28,HYAL3
ENSG00000166803,304.9915565,5.606448057,0.525251922,10.67382684,1.35E-26,4.27E-28,PCLAF
ENSG00000203760,196.1418865,4.492729772,0.426393015,10.53659327,5.86E-26,4.38E-28,CENPW
ENSG00000131747,1491.164198,4.85074772,0.460572321,10.53200007,6.15E-26,5.58E-28,TOP2A
ENSG00000029993,676.1480358,4.312416148,0.41040344,10.50774854,7.96E-26,2.02E-27,HMGB3
ENSG00000185198,708.4985578,7.455567001,0.709763472,10.50429797,8.25E-26,7.45E-27,PRSS57
ENSG00000172232,21719.84464,10.2158157,0.981029488,10.41336251,2.15E-25,1.10E-26,AZU1
ENSG00000122952,243.1023279,4.214879976,0.405917459,10.38358878,2.94E-25,2.79E-26,ZWINT
ENSG00000139734,75.79844583,4.794476032,0.463148989,10.35190866,4.10E-25,2.99E-26,DIAPH3
ENSG00000137563,263.9820674,4.086056726,0.396417389,10.30746088,6.52E-25,3.29E-26,GGH
ENSG00000076382,375.7593116,3.621483989,0.351633467,10.29903102,7.12E-25,3.39E-26,SPAG5
ENSG00000096006,2151.345568,6.927493484,0.675942379,10.248645,1.20E-24,3.55E-26,CRISP3
ENSG00000119333,115.8518282,3.048157996,0.29829292,10.21867364,1.64E-24,4.09E-26,DYNC2I2
ENSG00000085840,110.1483925,4.715380697,0.46180222,10.21082294,1.77E-24,5.31E-26,ORC1
ENSG00000167513,350.1551212,5.548090547,0.549452241,10.0974937,5.67E-24,6.58E-26,CDT1
ENSG00000105968,1043.246236,1.855901048,0.183940461,10.08968356,6.14E-24,1.72E-25,H2AZ2
ENSG00000127564,77.17963555,5.561746796,0.55202327,10.07520352,7.11E-24,1.85E-25,PKMYT1
ENSG00000164821,3509.46817,8.957181544,0.889106014,10.07436841,7.17E-24,2.09E-25,DEFA4
ENSG00000133169,793.8545201,7.7045412,0.766844609,10.04706965,9.46E-24,2.78E-25,BEX1
ENSG00000088882,609.9194074,7.130379231,0.710106987,10.04127457,1.00E-23,4.99E-25,CPXM1
ENSG00000144668,217.1859237,5.994486428,0.598983147,10.00777143,1.41E-23,5.56E-25,ITGA9
ENSG00000138587,112.2716034,4.417260523,0.442258347,9.987964177,1.72E-23,5.77E-25,MNS1
ENSG00000101425,14020.38042,7.97463419,0.79852996,9.986643694,1.74E-23,1.13E-24,BPI
ENSG00000164611,451.2344848,4.257566618,0.426807377,9.97538198,1.95E-23,1.21E-24,PTTG1
ENSG00000075218,66.64467699,4.321290672,0.43496869,9.934716623,2.94E-23,2.64E-24,GTSE1
ENSG00000142945,475.5935223,4.85867143,0.491483628,9.885723859,4.80E-23,3.63E-24,KIF2C
ENSG00000257017,3506.268548,6.480537843,0.656437942,9.872277977,5.49E-23,8.14E-24,HP
ENSG00000095932,666.5484732,7.789168196,0.793274789,9.819003839,9.33E-23,1.26E-23,SMIM24
ENSG00000277909,177.3608248,6.233643099,0.637908573,9.77200082,1.48E-22,1.50E-23,SPC25
ENSG00000105472,2102.707299,7.660909103,0.785634215,9.751241687,1.82E-22,1.55E-23,CLEC11A
ENSG00000003147,506.5802864,4.316311727,0.444652378,9.707159876,2.81E-22,1.97E-23,ICA1
ENSG00000135451,187.835341,6.640855167,0.684159701,9.706586285,2.83E-22,2.01E-23,TROAP
ENSG00000169397,736.5646482,7.110598623,0.73342221,9.695095846,3.16E-22,3.58E-23,RNASE3
ENSG00000123416,5020.608024,2.654989646,0.274564142,9.669833879,4.05E-22,3.75E-23,TUBA1B
ENSG00000100985,9445.496636,8.765788864,0.909924989,9.633529099,5.77E-22,5.02E-23,MMP9
ENSG00000175063,93.07159508,5.798324707,0.604236177,9.596123055,8.30E-22,6.22E-23,UBE2C
ENSG00000135476,94.72089378,6.289693762,0.656063589,9.587018499,9.07E-22,6.67E-23,ESPL1
ENSG00000131153,91.95354448,5.784451781,0.60559052,9.551754173,1.28E-21,9.16E-23,GINS2
ENSG00000121053,1070.813086,11.36344606,1.189979417,9.549279511,1.31E-21,1.44E-22,EPX
ENSG00000109674,50.54177909,5.121877007,0.536608508,9.544904587,1.36E-21,1.55E-22,NEIL3
ENSG00000148773,2155.534693,4.0520769,0.426399562,9.503004361,2.04E-21,1.87E-22,MKI67
