Ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000143603,348.9058057,4.625653018,0.386645119,11.96356243,5.51E-33,1.08E-28,KCNN3
ENSG00000075218,272.365411,2.95250451,0.251900261,11.72092674,9.96E-32,9.73E-28,GTSE1
ENSG00000101057,2174.484909,3.617746756,0.314235813,11.51284037,1.14E-30,4.44E-27,MYBL2
ENSG00000164045,264.542657,3.397233501,0.294052306,11.55316053,7.12E-31,4.44E-27,CDC25A
ENSG00000186185,260.840455,2.807859309,0.243682809,11.52259908,1.02E-30,4.44E-27,KIF18B
ENSG00000123485,343.8702658,2.62065622,0.230578143,11.36558819,6.20E-30,2.02E-26,HJURP
ENSG00000148773,3673.225926,2.89303676,0.259253574,11.15910079,6.46E-29,1.80E-25,MKI67
ENSG00000109805,550.5894616,2.825075734,0.253722527,11.13450888,8.52E-29,2.08E-25,NCAPG
ENSG00000094804,644.8128412,3.502218795,0.318074683,11.01068077,3.39E-28,7.37E-25,CDC6
ENSG00000146670,458.697434,2.681163905,0.247887188,10.81606485,2.89E-27,4.34E-24,CDCA5
ENSG00000115884,431.6181374,4.871091493,0.451737913,10.78300349,4.14E-27,5.78E-24,SDC1
ENSG00000170439,305.6790414,5.35067932,0.502200435,10.6544697,1.66E-26,2.17E-23,METTL7B
ENSG00000173334,2670.778363,1.346302129,0.12710942,10.59167867,3.26E-26,3.98E-23,TRIB1
ENSG00000118193,222.4023866,2.801995578,0.265171569,10.56672699,4.25E-26,4.37E-23,KIF14
ENSG00000090889,274.0374197,2.976883391,0.28224618,10.54711666,5.24E-26,5.12E-23,KIF4A
ENSG00000129538,629.7393691,5.157916439,0.490856508,10.50799236,7.94E-26,7.05E-23,RNASE1
ENSG00000171848,3152.23269,3.148329349,0.299521341,10.51120211,7.67E-26,7.05E-23,RRM2
ENSG00000111206,572.6607065,2.420775121,0.231426401,10.46023751,1.32E-25,1.12E-22,FOXM1
ENSG00000145386,554.978766,2.368151337,0.22666685,10.44771801,1.50E-25,1.22E-22,CCNA2
ENSG00000112053,1328.199202,3.004729044,0.288167744,10.4270138,1.87E-25,1.46E-22,SLC26A8
ENSG00000169679,1003.074102,2.927785734,0.281300494,10.40803623,2.28E-25,1.71E-22,BUB1
ENSG00000156970,393.4543596,2.583268168,0.248664529,10.38856721,2.80E-25,2.02E-22,BUB1B
ENSG00000089685,452.6585442,2.625170404,0.25389952,10.33940673,4.67E-25,3.26E-22,BIRC5
ENSG00000171241,691.7231181,2.838748201,0.27467834,10.33480907,4.90E-25,3.30E-22,SHCBP1
ENSG00000137869,128.6440694,5.799844256,0.562734078,10.30654527,6.58E-25,4.29E-22,CYP19A1
ENSG00000276043,611.5977286,2.392214322,0.232303608,10.29779237,7.21E-25,4.54E-22,UHRF1
ENSG00000065328,278.3355104,3.015848653,0.293904871,10.26130885,1.05E-24,6.23E-22,MCM10
ENSG00000166851,546.8631997,2.658075228,0.259940481,10.22570713,1.52E-24,8.74E-22,PLK1
ENSG00000113368,9378.127673,1.759753085,0.172252717,10.21611218,1.68E-24,9.38E-22,LMNB1
ENSG00000072571,330.02154,2.414623979,0.23748994,10.16726846,2.78E-24,1.41E-21,HMMR
ENSG00000170476,4930.41267,3.582100152,0.35223815,10.16954055,2.71E-24,1.41E-21,MZB1
ENSG00000198833,12029.24224,1.539296165,0.151400973,10.16701635,2.78E-24,1.41E-21,UBE2J1
ENSG00000126787,434.3512751,2.565942933,0.25483377,10.06908517,7.57E-24,3.61E-21,DLGAP5
ENSG00000184661,202.4894298,2.683823038,0.266798745,10.05935406,8.35E-24,3.89E-21,CDCA2
ENSG00000078900,94.55638969,3.565796162,0.355885741,10.01949712,1.25E-23,5.69E-21,TP73
ENSG00000165480,154.6358519,2.410943621,0.240896189,10.0082265,1.40E-23,6.23E-21,SKA3
ENSG00000092853,333.9154745,2.462376955,0.247915896,9.932307669,3.01E-23,1.28E-20,CLSPN
ENSG00000108950,381.1699605,4.393052365,0.442959244,9.917509167,3.49E-23,1.43E-20,FAM20A
ENSG00000135424,643.0313441,4.49974522,0.453737587,9.917065164,3.51E-23,1.43E-20,ITGA7
ENSG00000175063,281.838327,2.385626321,0.240769148,9.908355536,3.83E-23,1.53E-20,UBE2C
ENSG00000188786,4748.820069,1.499467484,0.151971315,9.866779712,5.80E-23,2.22E-20,MTF1
ENSG00000158089,541.7602407,3.381579887,0.34285693,9.862947448,6.03E-23,2.26E-20,GALNT14
ENSG00000183010,191.1350912,3.064562056,0.311996922,9.822411191,9.02E-23,3.32E-20,PYCR1
ENSG00000085840,291.0432185,2.431354562,0.247655281,9.817495337,9.47E-23,3.43E-20,ORC1
ENSG00000135476,323.5575518,2.372512247,0.242804889,9.771270511,1.50E-22,5.04E-20,ESPL1
ENSG00000117399,573.5807148,2.922622294,0.299232847,9.767050389,1.56E-22,5.16E-20,CDC20
ENSG00000066279,568.9551551,2.447947112,0.250799149,9.7605878,1.66E-22,5.41E-20,ASPM
ENSG00000211659,7168.401152,4.83424165,0.495739408,9.751578303,1.82E-22,5.82E-20,IGLV3-25
ENSG00000012048,817.0595675,1.234748811,0.126961438,9.725384554,2.35E-22,7.41E-20,BRCA1
ENSG00000204936,13919.82229,6.648454554,0.684684527,9.710245072,2.73E-22,8.46E-20,CD177
ENSG00000093009,209.833293,2.439594118,0.251399511,9.704052744,2.90E-22,8.85E-20,CDC45
ENSG00000140534,137.3310976,2.815121579,0.290258001,9.698687254,3.05E-22,9.18E-20,TICRR
ENSG00000176890,1125.861169,2.570023764,0.266059925,9.659567357,4.48E-22,1.27E-19,TYMS
ENSG00000088325,905.9972494,2.471130952,0.256802136,9.622704031,6.41E-22,1.74E-19,TPX2
ENSG00000274290,110.2647334,3.018265428,0.313753676,9.619856768,6.59E-22,1.76E-19,H2BC6
ENSG00000196358,2606.436991,2.697115597,0.280434262,9.617639381,6.74E-22,1.78E-19,NTNG2
ENSG00000177602,116.2497227,2.585371443,0.268988612,9.611453137,7.15E-22,1.84E-19,HASPIN
ENSG00000211679,36176.90119,3.609041426,0.3755809,9.60922514,7.31E-22,1.86E-19,IGLC3
ENSG00000117650,155.257208,2.498202664,0.260790794,9.579336085,9.77E-22,2.42E-19,NEK2
ENSG00000224373,3323.09899,3.511064427,0.366504512,9.579866855,9.72E-22,2.42E-19,IGHV4-59
ENSG00000139734,122.6556054,2.712810863,0.283747888,9.560638075,1.17E-21,2.86E-19,DIAPH3
ENSG00000158373,961.115173,2.946231953,0.308978533,9.535393674,1.49E-21,3.56E-19,H2BC5
ENSG00000131747,1372.321456,2.355087555,0.247371794,9.520436906,1.72E-21,4.06E-19,TOP2A
ENSG00000112984,236.5628016,2.807502209,0.295219818,9.509870399,1.91E-21,4.44E-19,KIF20A
ENSG00000273802,229.0725933,2.585398205,0.272855243,9.475347369,2.66E-21,6.04E-19,H2BC8
ENSG00000174371,201.3449247,2.362913388,0.249630863,9.465630009,2.92E-21,6.55E-19,EXO1
ENSG00000160209,3836.654093,1.223184692,0.129682238,9.432168246,4.02E-21,8.82E-19,PDXK
ENSG00000125844,5094.034965,1.678143394,0.17880736,9.385203123,6.28E-21,1.36E-18,RRBP1
ENSG00000196747,33.22795651,4.030193728,0.430167556,9.368892831,7.33E-21,1.56E-18,H2AC13
ENSG00000111665,181.3626427,2.433437911,0.25980048,9.366564346,7.49E-21,1.57E-18,CDCA3
ENSG00000211653,3758.493117,3.520421512,0.376012498,9.362511958,7.79E-21,1.62E-18,IGLV1-40
ENSG00000154839,282.7674284,2.129872259,0.227703421,9.353712182,8.46E-21,1.74E-18,SKA1
ENSG00000180535,79.20865255,4.21419511,0.451433134,9.335147984,1.01E-20,2.05E-18,BHLHA15
ENSG00000211637,2369.724969,4.897401154,0.526698643,9.298298409,1.43E-20,2.85E-18,IGLV4-69
ENSG00000203710,20841.22866,2.3721151,0.255185458,9.295651553,1.46E-20,2.89E-18,CR1
ENSG00000118985,3608.309341,2.492619207,0.269791925,9.239043048,2.49E-20,4.72E-18,ELL2
ENSG00000257017,4059.041554,3.776357227,0.40970129,9.21734277,3.05E-20,5.72E-18,HP
ENSG00000167900,549.4828828,2.748411788,0.298829827,9.197247202,3.67E-20,6.77E-18,TK1
ENSG00000211666,9919.04556,3.429760795,0.37287669,9.198109953,3.64E-20,6.77E-18,IGLV2-14
ENSG00000157456,384.5996808,2.247952118,0.245492503,9.156907408,5.34E-20,9.66E-18,CCNB2
ENSG00000211669,2298.180024,4.840233307,0.530977153,9.115709173,7.82E-20,1.38E-17,IGLV3-10
ENSG00000167513,321.3636169,2.841504043,0.312291559,9.098882006,9.13E-20,1.59E-17,CDT1
ENSG00000142945,373.9689165,2.320860062,0.255398221,9.087220931,1.02E-19,1.71E-17,KIF2C
ENSG00000137563,454.6845657,2.220674802,0.244527225,9.081503306,1.07E-19,1.77E-17,GGH
ENSG00000029993,510.3523106,2.709072917,0.299559127,9.043533218,1.52E-19,2.45E-17,HMGB3
ENSG00000087116,1350.654806,6.04901124,0.668846453,9.043946056,1.51E-19,2.45E-17,ADAMTS2
ENSG00000178209,11954.72024,1.396268673,0.154437951,9.040968657,1.55E-19,2.49E-17,PLEC
ENSG00000183019,5272.581773,3.119654505,0.345089396,9.040134366,1.56E-19,2.49E-17,MCEMP1
ENSG00000120885,12857.13665,2.342766986,0.259341196,9.033531975,1.66E-19,2.62E-17,CLU
ENSG00000004468,3623.965039,2.679298894,0.297280157,9.012706793,2.01E-19,3.14E-17,CD38
ENSG00000184730,11852.20268,1.945984478,0.215946601,9.011415172,2.03E-19,3.15E-17,APOBR
ENSG00000211677,80550.73675,3.552861043,0.394950822,8.995704899,2.35E-19,3.61E-17,IGLC2
ENSG00000165304,207.5669654,2.311945514,0.257111261,8.992004115,2.43E-19,3.70E-17,MELK
ENSG00000211640,2397.705212,4.337367484,0.482398666,8.991250999,2.44E-19,3.70E-17,IGLV6-57
ENSG00000282899,1957.632116,2.115958178,0.235614948,8.980576987,2.69E-19,4.05E-17,E2F2
